"Support","R_support","D_support","Opposition","R_opposition","D_opposition","Question_length","yes_proportion","voting_eligable_pop","turnout"
2434,1,6,839,2,0,773,0.699501566326527,4475000,0.605337653631285
4698,0,5,2802,0,0,81,0.778455110500325,25946000,0.224136976797965
619,8,0,2705,0,0,747,0.434093710440402,556000,0.431913669064748
663,3,1,1086,4,15,128,0.456779143892084,649000,0.474718027734977
2722,46,1,2071,0,0,207,0.624057729882035,649000,0.483416024653313
528,0,0,91,0,0,164,0.755034472430079,1075000,0.173917209302326
4698,0,5,2802,0,0,81,0.778455110500325,25946000,0.224136976797965
663,3,1,1086,4,15,128,0.456779143892084,649000,0.474718027734977
2722,46,1,2071,0,0,207,0.624057729882035,649000,0.483416024653313
5552,4,4,2918,0,0,1458,0.713732465456511,4200000,0.570778095238095
5338,4,4,3037,0,0,1517,0.710652226642905,4200000,0.56540380952381
868,0,11,741,3,0,536,0.456230109699595,13298000,0.224337343961498
2871,8,7,3028,1,0,1139,0.748920279926485,8740000,0.180040732265446
2871,8,7,3028,1,0,1139,0.748920279926485,8740000,0.180040732265446
11211,3,2,5904,3,0,732,0.503412311841272,2178000,0.467168044077135
5552,4,4,2918,0,0,1458,0.713732465456511,4200000,0.570778095238095
5338,4,4,3037,0,0,1517,0.710652226642905,4200000,0.56540380952381
4434,46,53,4340,7,0,1147,0.524334947622342,2195000,0.3720569476082
2434,2,2,5113,0,3,126,0.373076399177898,25946000,0.230320743081785
20537,7,23,8570,0,0,342,0.407507786185186,5389000,0.576087771386157
2434,2,2,5113,0,3,126,0.373076399177898,25946000,0.230320743081785
7492,0,2,6017,2,0,292,0.723584769690161,2198000,0.492433121019108
6538,0,11,4553,3,0,132,0.575863321822376,25946000,0.23125260155708
1751,0,0,724,5,0,91,0.689170570896029,15645000,0.502251070629594
1356,0,0,221,0,0,642,0.828911529044219,7400000,0.515427972972973
6538,0,11,4553,3,0,132,0.575863321822376,25946000,0.23125260155708
1356,0,0,221,0,0,642,0.828911529044219,7400000,0.515427972972973
1751,0,0,724,5,0,91,0.689170570896029,15645000,0.502251070629594
3131,0,0,3855,1,0,47,0.460962699157902,25946000,0.520273837971171
674,0,0,236,0,0,310,0.805426769020293,3716000,0.00354063509149623
6538,0,11,4553,3,0,132,0.575863321822376,25946000,0.23125260155708
5244,0,2,4970,2,0,639,0.509121811543815,4200000,0.743717142857143
6538,0,11,4553,3,0,132,0.575863321822376,25946000,0.23125260155708
5370,0,3,5463,7,0,122,0.421354029310929,516000,0.668718992248062
4293,0,3,266,0,0,154,0.842307753461908,25946000,0.227854544053033
1099,4,5,840,0,0,179,0.778664143190409,18581000,0.106351111350304
4293,0,3,266,0,0,154,0.842307753461908,25946000,0.227854544053033
1806,5,0,2318,0,23,453,0.590055774593092,3716000,0.417787674919268
1624,17,0,2751,0,0,245,0.517318881677064,1379000,0.414274111675127
1806,5,0,2318,0,23,453,0.590055774593092,3716000,0.417787674919268
1624,17,0,2751,0,0,245,0.517318881677064,1379000,0.414274111675127
235,0,0,915,5,0,93,0.657573236336289,15645000,0.500430936401406
235,0,0,915,5,0,93,0.657573236336289,15645000,0.500430936401406
90,1,0,126,1,0,418,0.593765090269836,3716000,0.319324273412271
494,3,0,268,0,0,464,0.602960593244185,3716000,0.372983315392896
917,3,0,1434,0,6,457,0.561944771968354,5075000,0.437844334975369
2733,0,0,1814,5,0,37,0.616079824183574,15645000,0.501729050814957
1514,0,0,1149,5,0,55,0.631516527327386,15645000,0.490658165548098
1699,1,0,1171,0,0,299,0.578812760023377,3299000,0.366701121551985
494,3,0,268,0,0,464,0.602960593244185,3716000,0.372983315392896
917,3,0,1434,0,6,457,0.561944771968354,5075000,0.437844334975369
2733,0,0,1814,5,0,37,0.616079824183574,15645000,0.501729050814957
1514,0,0,1149,5,0,55,0.631516527327386,15645000,0.490658165548098
3215,59,22,1225,0,5,1433,0.694505708937883,2800000,0.278197857142857
2495,0,3,1322,0,0,218,0.49676240579736,4200000,0.613514047619048
3743,23,46,977,0,0,214,0.662128559201236,4200000,0.575269523809524
1542,0,0,579,5,0,71,0.621336748708415,15645000,0.481495302013423
3743,23,46,977,0,0,214,0.662128559201236,4200000,0.575269523809524
1542,0,0,579,5,0,71,0.621336748708415,15645000,0.481495302013423
1514,0,0,1149,5,0,55,0.631516527327386,15645000,0.490658165548098
550,0,0,54,0,0,844,0.505569846977707,1369000,0.319732651570489
1514,0,0,1149,5,0,55,0.631516527327386,15645000,0.490658165548098
789,0,0,1076,0,0,245,0.405614147510687,3299000,0.395452258260079
10838,60,1,10619,0,35,248,0.512353091133469,5075000,0.27207645320197
170,0,0,609,5,0,53,0.789248757331457,15645000,0.495343751997443
2989,1,4,5247,0,0,345,0.751783357907269,1498000,0.413817089452603
2989,1,4,5247,0,0,345,0.751783357907269,1498000,0.413817089452603
170,0,0,609,5,0,53,0.789248757331457,15645000,0.495343751997443
1125,2,2,906,0,0,207,0.450588606596181,649000,0.488212634822804
4434,46,53,4340,7,0,1147,0.524334947622342,2195000,0.3720569476082
1045,0,0,1072,0,0,863,0.398959447572775,3878000,0.423318205260444
3382,51,1,3483,4,4,400,0.382509093445322,4421000,0.214043429088442
3382,51,1,3483,4,4,400,0.382509093445322,4421000,0.214043429088442
1045,0,0,1072,0,0,863,0.398959447572775,3878000,0.423318205260444
112,0,1,543,3,0,153,0.535856338120069,3716000,0.395933261571582
514,1,0,432,0,0,314,0.661261116908564,3716000,0.396358719052745
2471,2,2,750,0,0,188,0.36193466216802,4200000,0.584937857142857
1114,0,0,283,0,1,724,0.845547764691291,2524000,0.447232567353407
1605,9,2,2396,0,6,82,0.657262461197949,15645000,0.502258357302653
2555,0,2,1943,0,0,197,0.5816310023302,1498000,0.387894526034713
589,2,0,1749,2,2,195,0.384025909258791,7391000,0.483186713570559
4056,2,0,3149,0,0,611,0.634160057031472,2178000,0.460493572084481
1114,0,0,283,0,1,724,0.845547764691291,2524000,0.447232567353407
2471,2,2,750,0,0,188,0.36193466216802,4200000,0.584937857142857
1605,9,2,2396,0,6,82,0.657262461197949,15645000,0.502258357302653
514,1,0,432,0,0,314,0.661261116908564,3716000,0.396358719052745
2555,0,2,1943,0,0,197,0.5816310023302,1498000,0.387894526034713
589,2,0,1749,2,2,195,0.384025909258791,7391000,0.483186713570559
4056,2,0,3149,0,0,611,0.634160057031472,2178000,0.460493572084481
1605,9,2,2396,0,6,82,0.657262461197949,15645000,0.502258357302653
663,3,1,1086,4,15,128,0.456779143892084,649000,0.474718027734977
1605,9,2,2396,0,6,82,0.657262461197949,15645000,0.502258357302653
663,3,1,1086,4,15,128,0.456779143892084,649000,0.474718027734977
15629,1,14,17300,1,1,1166,0.58331940345079,5075000,0.495090443349754
15629,1,14,17300,1,1,1166,0.58331940345079,5075000,0.495090443349754
3253,4,0,1846,0,0,371,0.517163291266667,5075000,0.430624630541872
3253,4,0,1846,0,0,371,0.517163291266667,5075000,0.430624630541872
21811,3,30,1960,0,0,89,0.562155018975075,25946000,0.462852655515301
9856,0,10,3129,0,0,112,0.634322845762635,25946000,0.465576774840052
1974,2,2,1293,0,0,254,0.365090288142424,3299000,0.367806304940891
1849,1,1,1264,0,0,560,0.568990328082112,3242000,0.56266101172116
1849,1,1,1264,0,0,560,0.568990328082112,3242000,0.56266101172116
21811,3,30,1960,0,0,89,0.562155018975075,25946000,0.462852655515301
9856,0,10,3129,0,0,112,0.634322845762635,25946000,0.465576774840052
5272,3,3,2573,0,0,446,0.686536270941572,18581000,0.0464900705021258
4293,0,3,266,0,0,154,0.842307753461908,25946000,0.227854544053033
4919,0,4,3796,0,0,78,0.511054739338293,25946000,0.644489439605334
1114,0,0,283,0,1,724,0.845547764691291,2524000,0.447232567353407
485,2,0,1874,0,0,48,0.580643235140516,15645000,0.502048322147651
1132,0,0,2079,0,0,45,0.664945529672096,15645000,0.496251837647811
1542,0,0,579,5,0,71,0.621336748708415,15645000,0.481495302013423
889,1,0,1187,0,0,251,0.621636220059512,3299000,0.597666868748105
1115,2,0,288,0,0,373,0.788582163967217,2178000,0.464588154269972
3835,2,0,3859,6,16,217,0.283775282141739,2178000,0.464886593204775
564,2,0,422,0,0,170,0.513048566474194,18581000,0.103103492815241
1114,0,0,283,0,1,724,0.845547764691291,2524000,0.447232567353407
485,2,0,1874,0,0,48,0.580643235140516,15645000,0.502048322147651
1132,0,0,2079,0,0,45,0.664945529672096,15645000,0.496251837647811
1115,2,0,288,0,0,373,0.788582163967217,2178000,0.464588154269972
1542,0,0,579,5,0,71,0.621336748708415,15645000,0.481495302013423
3835,2,0,3859,6,16,217,0.283775282141739,2178000,0.464886593204775
4293,0,3,266,0,0,154,0.842307753461908,25946000,0.227854544053033
2444,3,11,1194,0,2,1209,0.619004008550922,1379000,0.29613995649021
3743,23,46,977,0,0,214,0.662128559201236,4200000,0.575269523809524
139,1,1,344,0,0,299,0.809992796985816,1077000,0.469214484679666
1374,8,1,2439,0,0,173,0.624230712156164,18581000,0.079787955438351
139,1,1,344,0,0,299,0.809992796985816,1077000,0.469214484679666
3743,23,46,977,0,0,214,0.662128559201236,4200000,0.575269523809524
1590,6,0,2256,0,0,273,0.71605826650265,3716000,0.456995963401507
8428,0,5,8883,9,0,303,0.504469627394089,2198000,0.503804822565969
3335,6,0,11622,0,0,520,0.365438005197594,3242000,0.570068784700802
1081,1,0,2110,1,1,359,0.716500742893423,3716000,0.411143702906351
1081,1,0,2110,1,1,359,0.716500742893423,3716000,0.411143702906351
1718,2,1,525,0,0,500,0.659285375494071,556000,0.568794964028777
1081,1,0,2110,1,1,359,0.716500742893423,3716000,0.411143702906351
1081,1,0,2110,1,1,359,0.716500742893423,3716000,0.411143702906351
3701,0,0,4859,2,0,575,0.584617691719785,3242000,0.703448797038865
6538,0,11,4553,3,0,132,0.575863321822376,25946000,0.23125260155708
21811,3,30,1960,0,0,89,0.562155018975075,25946000,0.462852655515301
9856,0,10,3129,0,0,112,0.634322845762635,25946000,0.465576774840052
670,0,0,141,0,0,422,0.719940497892634,1075000,0.318925581395349
1260,7,16,984,0,0,573,0.541492554372391,5921000,0.390105049822665
1820,0,1,194,3,0,47,0.580403122506529,776000,0.544269329896907
6813,0,8,4062,0,0,72,0.510899677897006,25946000,0.647913821012873
6538,0,11,4553,3,0,132,0.575863321822376,25946000,0.23125260155708
1260,7,16,984,0,0,573,0.541492554372391,5921000,0.390105049822665
21811,3,30,1960,0,0,89,0.562155018975075,25946000,0.462852655515301
9856,0,10,3129,0,0,112,0.634322845762635,25946000,0.465576774840052
81,0,1,194,3,0,41,0.838947316377198,776000,0.547349226804124
4178,37,106,1544,33,0,435,0.627196856447273,1075000,0.544488372093023
65,0,0,68,0,0,7,0.433830400666705,2195000,0.446078815489749
538,0,0,1073,0,0,109,0.394359905133015,3242000,0.52750894509562
2434,2,2,5113,0,3,126,0.373076399177898,25946000,0.230320743081785
9907,0,7,4148,4,0,127,0.813288004622517,25946000,0.231590534186387
1356,0,0,221,0,0,642,0.828911529044219,7400000,0.515427972972973
364,0,11,237,1,0,128,0.582061672135939,980000,0.384025510204082
1744,12,0,1351,0,1,383,0.713343247913931,4921000,0.387923795976428
1231,0,1,1907,0,0,298,0.553440605296343,3299000,0.600939678690512
3059,3,21,166,0,0,1214,0.890633216403853,4303000,0.488789681617476
122,0,0,336,0,0,744,0.360260916520627,556000,0.542911870503597
93,2,0,1769,0,0,420,0.496026151714583,2800000,0.412428571428571
1209,36,7,798,0,0,990,0.427765744912199,2800000,0.407943571428571
1849,1,1,1264,0,0,560,0.568990328082112,3242000,0.56266101172116
3036,2,2,2164,2,1,374,0.456441876325702,5389000,0.70660400816478
2326,3,0,317,0,0,769,0.723537367054654,1379000,0.38713995649021
1744,12,0,1351,0,1,383,0.713343247913931,4921000,0.387923795976428
2434,2,2,5113,0,3,126,0.373076399177898,25946000,0.230320743081785
9907,0,7,4148,4,0,127,0.813288004622517,25946000,0.231590534186387
1849,1,1,1264,0,0,560,0.568990328082112,3242000,0.56266101172116
3059,3,21,166,0,0,1214,0.890633216403853,4303000,0.488789681617476
93,2,0,1769,0,0,420,0.496026151714583,2800000,0.412428571428571
1356,0,0,221,0,0,642,0.828911529044219,7400000,0.515427972972973
2326,3,0,317,0,0,769,0.723537367054654,1379000,0.38713995649021
1209,36,7,798,0,0,990,0.427765744912199,2800000,0.407943571428571
8484,31,14,1409,0,0,252,0.832390566418475,18581000,0.0837445777945213
9856,0,10,3129,0,0,112,0.634322845762635,25946000,0.465576774840052
4293,0,3,266,0,0,154,0.842307753461908,25946000,0.227854544053033
691,0,0,697,0,0,1055,0.37631545519822,4200000,0.539827619047619
5361,4,10,4666,0,1,645,0.575236214733876,4200000,0.720364523809524
5720,8,11,2861,0,0,100,0.726157914936981,15645000,0.173866922339406
485,2,0,1874,0,0,48,0.580643235140516,15645000,0.502048322147651
1132,0,0,2079,0,0,45,0.664945529672096,15645000,0.496251837647811
1605,9,2,2396,0,6,82,0.657262461197949,15645000,0.502258357302653
870,5,1,121,0,0,459,0.712446269723358,7400000,0.500906621621622
1400,1,0,3448,0,0,250,0.373274296863534,3299000,0.590671718702637
17305,13,9,8086,1,6,45,0.692857412241249,7467000,0.166898218829517
829,4,2,562,1,1,566,0.463990993041447,4475000,0.53411217877095
2980,2,0,1391,3,0,176,0.629412426489389,827000,0.591142684401451
635,0,2,112,2,0,381,0.611552391554531,1369000,0.621388604821037
1345,6,0,1376,0,2,153,0.573538361800028,7391000,0.494199837640373
2320,0,0,821,0,0,686,0.302678719247707,556000,0.54318345323741
93,2,0,1769,0,0,420,0.496026151714583,2800000,0.412428571428571
2998,0,0,2126,0,0,123,0.565978881376216,3242000,0.522707587908698
1115,2,0,288,0,0,373,0.788582163967217,2178000,0.464588154269972
3835,2,0,3859,6,16,217,0.283775282141739,2178000,0.464886593204775
20537,7,23,8570,0,0,342,0.407507786185186,5389000,0.576087771386157
889,1,0,1187,0,0,251,0.621636220059512,3299000,0.597666868748105
1699,1,0,1171,0,0,299,0.578812760023377,3299000,0.366701121551985
870,5,1,121,0,0,459,0.712446269723358,7400000,0.500906621621622
485,2,0,1874,0,0,48,0.580643235140516,15645000,0.502048322147651
1132,0,0,2079,0,0,45,0.664945529672096,15645000,0.496251837647811
1345,6,0,1376,0,2,153,0.573538361800028,7391000,0.494199837640373
1605,9,2,2396,0,6,82,0.657262461197949,15645000,0.502258357302653
93,2,0,1769,0,0,420,0.496026151714583,2800000,0.412428571428571
1115,2,0,288,0,0,373,0.788582163967217,2178000,0.464588154269972
829,4,2,562,1,1,566,0.463990993041447,4475000,0.53411217877095
9856,0,10,3129,0,0,112,0.634322845762635,25946000,0.465576774840052
3835,2,0,3859,6,16,217,0.283775282141739,2178000,0.464886593204775
4293,0,3,266,0,0,154,0.842307753461908,25946000,0.227854544053033
2980,2,0,1391,3,0,176,0.629412426489389,827000,0.591142684401451
5496,101,21,5313,0,13,631,0.662137556170169,5038000,0.264678046843986
1423,0,0,1215,0,0,338,0.358007659510159,3299000,0.405164898454077
4530,0,0,8277,0,0,142,0.431972678193705,4897000,0.457117623034511
2251,0,0,707,0,0,139,0.655256839592909,18581000,0.0567782681233518
21811,3,30,1960,0,0,89,0.562155018975075,25946000,0.462852655515301
10539,4,5,1601,0,0,1318,0.837555414984097,3242000,0.593427822331894
1115,2,0,288,0,0,373,0.788582163967217,2178000,0.464588154269972
21811,3,30,1960,0,0,89,0.562155018975075,25946000,0.462852655515301
1115,2,0,288,0,0,373,0.788582163967217,2178000,0.464588154269972
2636,5,0,86,1,0,1017,0.563821450580887,3878000,0.305036874677669
